"id","outter_name"
"3736","凯迪拉克CT5"
"4329","RAV4荣放PHEV"
"5297","欧拉芭蕾猫"
"9021","远程星享F1E"
"9660","智己L6"
"9880","揽巡(测试)"
"20012","宋L DM"
"25119","晓澳VITO"
"1020","GranCabrio"
"4827","思皓X7"
"6036","本田HR-V"
"8922","雷驰·仁T10"
"8925","五菱龙卡"
"9149","星际"
"10022","悦也Plus"
"10217","领裕 PHEV"
"24624","E-900系列"
"25227","艾瑞泽8 PRO"
"1274","沃尔沃V90"
"4232","英菲尼迪QX55"
"4730","本田CR-V PHEV"
"5416","岚图梦想家 EV"
"8956","奔腾小马"
"120","宝马5系(进口)"
"485","东南DX7"
"836","九龙A4"
"3095","享域"
"3476","星瑞"
"4792","星途凌云"
"5194","克蒂圣姆峰M1系列"
"5299","跨越星V5 EV"
"5857","长安欧尚Z6 iDD新能源"
"9284","福运EV"
"9782","图雅诺X6"
"24634","V-900系列"
"24958","慧驭"
"25267","秦PLUS DM"
"226","奔驰GLC轿跑"
"3355","沃尔沃XC40"
"4355","红旗H9"
"5827","五菱佳辰"
"5832","Polestar 4"
"5872","帝豪L HiP"
"5896","五菱Air ev晴空"
"6147","锐程PLUS"
"9030","蓝电E3"
"9943","凯迪拉克CT5（唐子博）"
"25208","欧萌达"
"2182","阿斯顿·马丁DBX"
"3196","长安CS75 PLUS"
"5035","Urus "
"5177","雅升V-Class"
"9343","探陆"
"1576","神骐F50"
"4772","宝马XM"
"4857","星越L"
"5257","QQ冰淇淋"
"5824","五菱E10"
"6164","黑武士Youth"
"9803","鑫源E3"
"24669","C535系列"
"24684","升顶炮房车"
"404","途观L"
"4221","神骐T10 EV"
"4722","Grecale"
"4797","比亚迪e9"
"5443","魔方"
"5818","荣威iMAX8 EV"
"6177","枫叶60s PRO"
"9186","IQ傲歌"
"24685","自由炮房车"
"24919","悦意03"
"25336","菱势黄金仓PLUS"
"4549","锐际PHEV"
"5845","理想L6"
"6098","山海炮"
"9118","智己LS6"
"9689","元UP"
"9911","红旗HS3(测试)"
"10179","法拉利12Cilindri"
"10213","深蓝S05"
"24800","AION RT"
"25193","零跑C16"
"427","御风EV"
"2828","海马8S"
"3125","东风小康D52"
"5551","东风小康D71 PLUS"
"6081","吉利几何M6"
"9188","大通G70"
"24545","蔚来ET5（李林煊）"
"24997","拖挂T系列"
"25037","乐天派"
"814","小海狮X30"
"1757","Arteon"
"1826","图雅诺X7"
"3275","哪吒U"
"4538","宝马iX3"
"4746","克蒂巴赫"
"4826","优劲T5"
"5567","星途追风C-DM"
"9099","吉奥帅豹"
"24675","C520系列"
"24718","白鲸"
"25180","凯迪拉克XT4"
"80","奥迪A7"
"1533","小老虎"
"3052","长安CS35 PLUS"
"5227","理想L9"
"5386","风行游艇"
"5503","哈弗H6 PHEV"
"9237","起亚EV5"
"9625","江淮T6 EV"
"9828","eπ008"
"9905","捷豹XFL(测试)"
"10147","捷途山海L7"
"24645","V-900系列"
"429","锐骐"
"3724","DS 9"
"4381","马自达CX-30"
"4594","翼放ES7"
"4723","北汽小河马"
"4995","跨越星V5"
"5354","瑞驰EC72"
"5452","吉奥吉瑞"
"5456","跨越星V3"
"6365","雅阁 PHEV"
